,Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_amount_spent,Total_accept_campaign,Year,children,Status_Divorced,Status_Married,Status_Single,Status_Together
468,3,56937.0,81,7,8,6,9,6,0,1,39,160,1,2012,1,0,0,0,1
181,2,66835.0,21,1,6,4,13,2,0,0,74,413,0,2013,0,0,1,0,0
164,1,43482.0,83,3,2,0,4,6,0,0,54,70,0,2013,3,0,0,0,1
1569,3,81574.0,89,1,4,5,8,1,0,0,73,546,2,2014,0,0,0,0,1
451,1,38988.0,90,7,5,1,6,8,0,0,48,184,0,2012,3,0,1,0,0
1747,1,41120.0,80,3,2,1,3,6,0,0,52,57,0,2013,2,0,1,0,0
490,3,55614.0,85,1,9,4,6,7,0,0,76,178,1,2013,0,1,0,0,0
1621,2,36301.0,53,1,3,0,3,7,0,0,44,67,0,2013,1,0,0,0,1
1798,1,18701.0,95,4,2,0,4,5,0,0,56,32,0,2013,2,0,0,1,0
287,2,32414.0,11,1,1,0,3,7,0,0,36,32,1,2013,0,0,0,0,1
1176,0,15056.0,76,5,2,2,3,5,0,0,62,82,0,2013,2,0,0,1,0
87,1,50388.0,3,4,6,1,6,7,0,1,63,80,2,2014,1,0,0,1,0
1656,2,41473.0,80,1,2,0,3,7,0,0,35,55,0,2013,1,0,0,1,0
802,1,72504.0,43,2,5,9,6,2,0,0,48,874,0,2013,1,0,0,1,0
1928,3,54356.0,62,3,11,2,8,8,0,1,71,65,0,2012,1,1,0,0,0
1846,2,74290.0,70,4,10,8,10,6,0,0,49,96,2,2013,1,1,0,0,0
1592,2,53843.0,64,4,8,5,3,7,0,0,55,184,0,2013,1,0,1,0,0
2193,1,73807.0,88,2,5,5,11,2,0,0,42,483,0,2013,1,0,1,0,0
1411,1,24639.0,3,3,2,0,4,6,0,0,47,24,0,2014,2,0,1,0,0
2075,2,51381.5,75,1,5,5,11,1,0,1,77,1032,1,2013,0,1,0,0,0
1599,2,51250.0,28,5,10,5,4,9,0,0,30,368,1,2013,1,0,0,1,0
1316,0,18393.0,2,2,3,0,3,8,0,0,46,43,0,2014,1,0,1,0,0
1567,3,38201.0,19,4,5,1,5,8,0,0,60,35,0,2013,1,0,0,0,1
2006,2,37284.0,46,1,0,0,3,6,0,0,45,12,0,2013,2,0,1,0,0
327,1,24072.0,79,1,1,0,2,8,0,0,37,14,0,2013,1,0,0,1,0
1395,1,36864.0,53,3,5,2,4,8,0,1,63,150,0,2012,1,0,0,1,0
442,2,42618.0,92,2,5,0,4,8,0,0,48,116,0,2013,1,1,0,0,0
1090,2,80910.0,71,1,3,3,8,1,0,0,34,596,0,2012,0,0,0,1,0
1413,2,65704.0,18,1,2,10,10,1,0,0,48,538,0,2013,0,0,0,1,0
834,1,40049.0,61,3,3,2,6,5,0,0,46,199,0,2012,1,0,1,0,0
1547,2,37054.0,89,2,1,0,3,7,0,0,53,13,0,2013,2,0,1,0,0
1546,1,67445.0,63,5,9,6,12,6,0,0,46,417,0,2012,1,0,1,0,0
832,1,56628.0,30,2,7,6,5,5,0,0,43,282,1,2014,1,0,0,1,0
1946,3,76842.0,37,1,1,8,7,0,0,0,70,525,0,2014,0,1,0,0,0
348,3,69759.0,38,3,4,6,5,3,0,1,54,577,0,2013,0,0,0,1,0
2158,1,90000.0,91,1,4,8,5,1,0,0,36,804,3,2013,0,0,1,0,0
177,1,38285.0,96,1,0,0,3,2,0,0,61,8,0,2014,3,0,0,0,1
1025,1,68695.0,3,1,4,4,7,2,0,0,51,633,0,2014,0,0,0,0,1
1050,3,53312.0,32,1,5,1,5,7,0,0,69,37,0,2013,0,0,1,0,0
1287,3,48918.0,21,2,1,0,4,4,0,0,57,10,0,2014,2,0,0,1,0
86,2,36138.0,48,5,3,1,4,7,0,0,50,21,1,2013,2,0,1,0,0
1106,2,98777.0,23,0,4,6,9,1,0,0,60,1008,1,2014,0,0,0,1,0
1711,1,17688.0,82,1,1,0,2,8,1,0,41,9,0,2013,1,0,1,0,0
2177,3,84117.0,60,1,7,10,6,2,0,0,64,955,1,2014,0,0,1,0,0
1984,1,94472.0,75,1,5,5,5,5,0,0,62,674,2,2014,1,0,0,1,0
978,3,65352.0,43,2,4,2,8,4,0,0,46,121,0,2013,1,0,1,0,0
457,1,70165.0,60,1,3,7,11,1,0,0,71,765,0,2013,0,1,0,0,0
777,1,31590.0,40,1,1,0,3,8,0,0,48,32,0,2013,1,0,0,0,1
1611,2,52973.0,92,7,9,6,9,8,0,0,64,296,0,2012,1,0,1,0,0
54,1,66373.0,57,7,4,2,10,3,0,0,42,278,0,2013,2,0,1,0,0
1769,3,39435.0,16,1,3,1,2,7,0,0,47,31,0,2013,1,0,0,0,1
1740,3,80360.0,56,2,4,4,5,2,0,0,71,738,3,2013,0,0,1,0,0
1748,2,39763.0,9,2,5,1,2,9,0,1,49,87,0,2013,1,0,0,1,0
113,1,86037.0,95,1,6,7,11,3,0,1,29,240,2,2013,0,0,0,1,0
987,1,64587.0,49,2,1,1,4,3,0,0,66,42,0,2014,2,1,0,0,0
2187,1,55593.0,63,2,6,6,3,6,0,0,47,253,1,2013,1,0,0,0,1
1225,1,41986.0,15,3,3,0,4,4,0,0,42,36,0,2014,1,1,0,0,0
1009,2,70924.0,41,1,6,6,7,3,0,0,55,728,1,2014,0,0,1,0,0
589,1,33178.0,9,1,1,0,3,4,0,0,43,37,0,2014,1,0,0,0,1
1727,1,79146.0,33,2,8,1,8,6,0,0,53,319,0,2014,2,0,0,1,0
1896,1,62820.0,51,1,3,4,6,1,0,0,66,578,0,2013,0,0,1,0,0
285,1,79946.0,19,1,5,11,5,3,0,0,54,1083,0,2014,0,1,0,0,0
428,2,67309.0,76,15,9,6,9,7,0,0,53,567,0,2013,2,0,0,0,1
1061,1,22304.0,91,1,1,0,2,8,0,0,64,15,0,2012,0,1,0,0,0
669,1,26751.0,26,1,1,0,2,8,0,0,46,10,0,2014,2,0,1,0,0
31,2,38620.0,56,1,2,5,3,3,0,0,57,206,0,2013,0,0,0,0,1
722,1,89891.0,17,1,11,6,8,4,0,0,29,424,1,2013,0,0,0,0,1
951,1,59041.0,25,2,2,0,4,5,0,0,47,27,0,2014,2,0,1,0,0
1861,3,26642.0,71,2,2,0,3,6,0,0,53,29,0,2014,1,1,0,0,0
214,2,52195.0,2,1,1,0,2,8,0,0,42,5,0,2014,3,0,0,1,0
1672,1,38232.0,84,4,3,1,3,5,0,0,49,79,0,2014,2,0,0,0,1
326,3,29999.0,22,4,3,1,4,8,0,0,34,92,0,2013,1,0,0,1,0
560,3,48799.0,9,3,3,2,7,3,0,0,57,157,0,2013,1,1,0,0,0
1433,2,36408.0,11,1,1,0,2,6,0,0,71,13,0,2013,2,0,1,0,0
341,1,82623.0,58,1,2,9,4,1,0,0,68,736,0,2013,0,1,0,0,0
147,1,38547.0,49,1,1,0,2,8,1,0,39,16,0,2013,1,0,0,0,1
1441,2,69401.0,41,4,4,4,5,2,0,0,47,291,0,2014,1,0,0,0,1
1689,3,41437.0,5,1,1,0,3,7,0,0,63,3,0,2012,2,1,0,0,0
966,2,59052.0,29,3,7,1,7,5,0,0,61,261,0,2013,1,1,0,0,0
155,1,69372.0,10,1,10,4,6,4,0,1,71,384,2,2013,0,0,0,0,1
1292,1,7500.0,5,4,2,1,3,6,0,0,42,51,0,2012,2,0,0,1,0
1251,1,39356.0,21,1,1,0,2,6,0,0,44,8,1,2014,2,0,1,0,0
1827,3,80336.0,12,1,2,9,13,1,0,0,50,843,0,2013,0,0,1,0,0
1574,1,82460.0,78,1,5,3,6,1,0,0,70,719,0,2013,0,1,0,0,0
1699,1,64813.0,81,1,7,2,10,5,0,0,42,452,0,2014,1,0,1,0,0
1448,1,43300.0,87,3,4,0,4,8,0,1,49,89,0,2012,1,1,0,0,0
2099,2,48150.0,24,3,5,1,4,7,0,0,71,93,0,2013,1,0,1,0,0
1268,1,66303.0,56,4,3,4,11,8,0,0,49,196,1,2013,1,0,1,0,0
2092,3,67911.0,63,3,6,7,11,3,0,0,71,447,0,2014,1,0,0,0,1
1956,1,74485.0,58,1,6,7,12,3,0,0,73,1235,0,2013,0,0,0,0,1
1559,1,75315.0,14,2,5,4,12,2,0,0,66,382,0,2014,1,0,0,0,1
2048,3,70179.0,10,3,7,3,13,5,0,0,44,502,0,2013,1,1,0,0,0
938,3,51563.0,60,1,4,4,10,8,0,0,33,84,2,2012,0,0,1,0,0
1963,1,34600.0,8,5,5,2,5,8,0,1,49,119,0,2013,2,0,0,0,1
346,1,71113.0,95,4,6,7,9,4,0,0,63,340,0,2013,1,0,1,0,0
1730,3,42403.0,18,1,1,0,3,8,0,0,49,20,0,2013,1,0,1,0,0
2207,3,82032.0,54,0,4,6,7,1,0,0,72,902,0,2014,0,1,0,0,0
385,3,83664.0,57,3,2,2,12,5,0,0,52,307,0,2013,2,1,0,0,0
1233,0,25707.0,18,1,1,0,3,7,0,0,36,20,0,2014,1,0,0,1,0
1271,1,71847.0,95,0,6,7,9,3,0,0,42,455,1,2012,0,1,0,0,0
243,1,80134.0,40,2,5,3,6,6,0,1,48,472,3,2013,1,0,1,0,0
1164,2,20130.0,99,1,1,0,3,8,0,0,46,34,0,2014,0,0,1,0,0
936,1,94384.0,62,0,5,8,5,2,0,1,67,1191,3,2013,0,0,0,0,1
1791,1,78416.0,99,2,7,7,10,3,0,0,44,726,0,2014,1,0,0,0,1
312,2,28839.0,86,2,2,0,3,5,0,0,64,8,0,2014,2,0,0,0,1
2176,2,76234.0,21,1,8,3,11,3,0,0,48,388,1,2014,1,0,1,0,0
968,1,83715.0,2,1,2,8,13,0,0,0,58,608,0,2014,0,0,1,0,0
660,3,45068.0,25,1,1,0,2,7,0,0,46,6,0,2013,1,0,0,0,1
1807,2,58582.0,15,2,9,2,9,5,0,0,38,361,1,2013,1,0,0,0,1
370,3,38578.0,2,3,3,0,3,8,0,1,48,35,0,2013,2,0,0,1,0
566,1,44989.0,26,5,5,1,5,6,0,0,46,271,0,2012,1,0,1,0,0
1577,3,35860.0,37,2,1,1,2,5,0,1,47,34,1,2014,2,1,0,0,0
824,1,48789.0,94,1,6,4,7,6,0,0,28,329,0,2012,0,0,0,1,0
982,3,35340.0,1,2,2,0,3,5,0,0,64,18,0,2014,2,1,0,0,0
2060,1,34350.0,81,1,1,0,3,7,0,0,41,32,0,2013,1,0,0,0,1
813,3,76412.0,15,1,5,4,8,3,0,1,40,968,2,2013,0,0,0,1,0
778,0,20425.0,5,2,2,0,3,7,0,0,34,53,0,2012,1,0,1,0,0
1052,1,67605.0,84,1,2,8,6,1,0,0,33,602,0,2013,0,0,0,0,1
1420,2,38741.0,60,2,2,0,3,7,0,0,62,54,0,2014,2,0,0,1,0
1013,1,34961.0,77,3,3,1,3,7,0,0,47,34,0,2014,1,0,1,0,0
1333,2,43263.0,2,3,5,2,6,5,0,0,43,179,0,2012,1,0,1,0,0
1657,3,63246.0,60,1,6,3,12,4,0,0,53,179,0,2013,2,0,1,0,0
126,1,79607.0,37,1,3,6,6,1,0,1,36,1473,0,2013,0,0,0,1,0
887,3,48948.0,53,2,7,10,5,6,0,1,77,465,1,2013,0,1,0,0,0
1007,2,38196.0,20,3,2,0,4,5,0,0,49,14,0,2014,2,0,1,0,0
355,3,46681.0,52,2,4,6,4,5,0,0,72,156,0,2013,2,0,0,0,1
1820,2,22669.0,30,3,4,1,2,9,0,1,45,157,0,2013,1,0,0,0,1
682,3,69476.0,3,1,4,6,4,2,0,0,51,784,0,2013,0,0,0,0,1
1864,3,60200.0,3,6,6,2,11,6,0,0,72,183,0,2013,1,0,0,1,0
2155,3,31560.0,98,2,2,1,3,8,0,0,46,32,0,2013,1,0,0,1,0
984,2,24884.0,32,1,0,0,3,7,0,0,48,16,0,2012,1,0,1,0,0
2143,1,40590.0,30,5,3,4,3,6,0,0,51,104,1,2013,2,1,0,0,0
140,2,92859.0,46,1,5,4,12,2,0,0,28,1115,0,2012,0,0,0,1,0
1746,0,16014.0,42,4,1,1,4,3,0,0,41,35,0,2013,2,0,0,1,0
1619,3,41003.0,11,1,6,2,8,6,0,0,57,478,0,2013,0,1,0,0,0
1284,1,22804.0,75,1,2,0,2,9,0,0,49,12,0,2013,1,0,0,1,0
1911,2,31878.0,7,1,1,0,4,3,0,0,43,47,0,2014,1,0,0,1,0
1394,1,37716.0,4,2,4,1,3,7,0,0,67,91,0,2014,1,0,1,0,0
1134,1,37155.0,51,1,2,0,4,5,0,0,31,51,0,2013,1,0,1,0,0
1737,0,28389.0,49,1,1,0,2,7,0,0,73,27,0,2012,0,0,0,0,1
711,1,58710.0,77,6,11,5,9,6,0,0,50,745,0,2013,1,1,0,0,0
1490,1,71706.0,16,4,9,5,7,5,0,0,61,512,0,2012,1,0,0,0,1
2044,2,36927.0,46,2,3,0,3,8,0,0,65,20,0,2014,2,0,0,1,0
10,1,51381.5,11,1,1,0,2,7,0,0,37,14,0,2013,1,0,1,0,0
1357,2,75154.0,79,1,6,3,6,3,0,1,62,600,0,2012,1,0,0,1,0
2034,2,45057.0,80,1,2,0,3,5,0,0,41,13,0,2013,1,0,1,0,0
754,1,79146.0,33,2,8,1,8,6,0,0,53,319,0,2014,2,0,0,1,0
626,3,65488.0,46,1,3,4,6,1,0,0,62,360,0,2014,0,0,0,0,1
1347,1,69627.0,35,2,8,2,11,5,0,0,58,630,0,2013,1,0,0,1,0
129,3,77376.0,72,4,6,3,10,4,0,0,64,169,0,2014,2,0,0,0,1
843,1,49166.0,17,2,5,3,3,6,0,0,46,144,0,2013,1,0,0,1,0
323,3,14849.0,39,3,2,0,4,8,0,0,44,44,0,2013,1,1,0,0,0
1319,3,45503.0,54,1,3,1,4,5,0,0,45,73,0,2013,1,0,1,0,0
14,1,17323.0,38,1,1,0,3,8,0,0,33,43,0,2012,0,0,1,0,0
1617,3,54549.0,8,2,5,1,4,7,0,0,68,17,0,2014,1,0,1,0,0
215,2,83790.0,81,1,8,10,6,3,0,0,72,539,2,2013,0,0,1,0,0
1449,1,26290.0,49,4,2,0,4,6,0,0,48,62,0,2013,2,0,0,0,1
2154,0,15253.0,13,2,1,0,3,7,0,0,28,28,0,2013,1,0,0,1,0
1283,1,15759.0,12,1,1,0,2,7,0,0,64,16,0,2013,0,0,1,0,0
864,1,62450.0,61,2,5,5,4,3,0,0,61,480,1,2014,1,0,0,1,0
516,1,30630.0,67,2,2,0,3,7,0,0,55,25,0,2014,2,1,0,0,0
597,1,62807.0,83,3,5,3,12,5,0,0,60,293,0,2012,1,0,0,0,1
195,1,80067.0,82,1,4,6,6,2,0,0,66,1081,1,2013,0,0,1,0,0
288,1,38361.0,74,3,3,1,3,7,0,0,51,98,0,2013,1,0,0,0,1
950,1,53700.0,94,4,5,5,8,5,0,0,68,431,0,2012,1,0,0,1,0
1429,2,20491.0,16,1,0,1,2,7,0,0,34,25,0,2013,0,0,0,0,1
1668,0,15862.0,26,1,1,0,3,8,0,0,41,35,0,2013,1,0,0,1,0
1120,1,46931.0,94,2,1,1,3,3,0,0,43,37,0,2014,3,0,0,0,1
549,1,22419.0,74,1,3,2,2,8,0,0,57,132,0,2013,0,0,1,0,0
156,1,49967.0,4,3,6,1,5,7,0,0,62,94,0,2013,1,0,0,1,0
419,2,82584.0,26,1,3,4,8,1,0,1,46,359,2,2013,0,0,1,0,0
922,3,68397.0,6,1,6,9,5,3,0,0,44,656,0,2013,1,0,1,0,0
477,2,37760.0,54,1,2,0,3,6,0,0,48,28,0,2013,1,1,0,0,0
1281,2,83151.0,80,1,5,7,10,2,0,1,48,1378,3,2013,0,0,1,0,0
553,1,79908.0,30,1,5,6,7,2,0,0,38,1215,1,2013,0,0,1,0,0
390,2,70777.0,80,3,5,3,12,3,0,0,52,233,0,2014,1,0,1,0,0
578,2,47821.0,54,1,1,0,3,8,0,0,53,38,0,2013,2,0,0,0,1
2063,1,25293.0,51,1,1,1,2,8,0,0,51,22,0,2013,1,0,1,0,0
1304,2,45143.0,74,3,6,1,5,7,0,0,55,109,0,2013,1,0,0,0,1
1996,1,30368.0,97,2,2,0,3,8,0,0,43,17,0,2013,1,0,1,0,0
820,1,37859.0,75,2,1,0,3,8,0,0,58,14,0,2013,3,1,0,0,0
2136,3,29732.0,23,1,2,0,2,9,0,0,49,13,0,2014,1,0,0,0,1
1006,2,34053.0,14,1,3,0,3,8,0,0,52,40,0,2012,1,0,0,0,1
1270,1,40800.0,77,2,3,0,3,7,1,0,56,75,0,2013,3,0,1,0,0
664,3,59304.0,81,3,7,8,10,5,0,0,56,630,0,2013,1,0,1,0,0
1824,1,48186.0,39,3,4,1,4,7,0,0,46,122,0,2014,1,0,0,0,1
142,1,86111.0,73,1,5,7,10,2,0,0,58,986,0,2013,0,0,1,0,0
1840,1,25008.0,72,2,1,0,3,8,0,0,32,32,0,2014,1,0,0,1,0
1430,1,42523.0,96,1,1,1,4,2,0,0,56,111,0,2014,0,0,1,0,0
421,1,48686.0,8,1,1,0,2,8,0,0,67,10,0,2013,3,0,1,0,0
799,2,56850.0,83,1,1,1,3,2,0,0,49,29,0,2014,1,0,1,0,0
615,3,54456.0,23,3,6,1,7,6,0,0,59,52,0,2013,1,0,1,0,0
295,1,68627.0,45,1,2,3,6,1,0,0,38,430,0,2013,0,0,0,1,0
401,1,48006.0,55,1,1,0,3,6,0,0,55,18,0,2014,2,0,1,0,0
88,1,79593.0,70,1,5,6,7,2,0,0,47,1016,1,2014,0,0,1,0,0
1607,1,55434.0,21,3,5,3,13,4,0,0,36,644,0,2013,1,0,1,0,0
2194,1,18929.0,15,1,1,0,4,6,0,0,30,53,0,2013,0,0,1,0,0
131,2,61331.0,42,5,11,1,6,8,0,0,62,98,0,2013,2,0,0,1,0
1226,1,28427.0,67,2,2,0,3,8,0,0,37,34,0,2013,1,0,0,0,1
1772,3,42473.0,72,3,2,1,4,5,0,0,44,51,0,2014,2,0,0,1,0
1626,3,46681.0,52,2,4,6,4,5,0,0,72,156,0,2013,2,0,0,0,1
1818,1,78394.0,13,1,4,6,5,2,0,1,34,1130,0,2013,0,0,0,0,1
724,3,53593.0,60,8,7,2,6,8,0,0,67,131,0,2012,2,0,0,0,1
1380,1,44964.0,35,1,1,0,3,8,0,0,40,22,0,2012,2,0,0,0,1
269,3,61905.0,2,2,4,2,4,5,0,0,45,64,0,2014,1,0,0,0,1
1647,2,36634.0,0,3,5,2,5,7,0,0,66,122,0,2013,1,0,0,0,1
917,1,83033.0,82,1,11,4,10,5,0,0,34,949,1,2014,1,0,0,0,1
1783,2,82122.0,89,1,3,9,13,1,0,0,58,648,1,2013,0,0,0,0,1
1594,2,70638.0,69,1,4,5,10,3,0,0,65,318,1,2013,0,1,0,0,0
1244,1,67433.0,51,4,6,5,13,4,0,0,68,377,1,2013,2,0,1,0,0
375,1,30822.0,92,1,1,0,3,7,0,0,51,48,0,2013,1,0,0,1,0
333,1,75693.0,10,1,11,4,6,4,0,1,52,645,3,2012,0,1,0,0,0
1401,3,36957.0,43,4,3,2,2,9,0,1,67,52,0,2012,2,1,0,0,0
2095,0,14188.0,40,1,2,0,4,6,0,0,48,73,0,2013,0,0,1,0,0
1118,1,39552.0,54,7,6,2,5,8,0,1,58,219,0,2012,2,1,0,0,0
910,3,84169.0,9,1,7,6,6,3,0,1,38,441,2,2013,0,0,1,0,0
776,1,30467.0,8,1,1,0,2,7,0,0,48,23,0,2014,1,0,1,0,0
1359,1,37971.0,97,1,1,0,3,8,0,0,47,25,0,2013,1,0,1,0,0
328,3,33996.0,46,1,1,1,3,4,0,0,31,31,0,2013,0,0,0,1,0
1857,2,32889.0,78,3,2,1,3,5,0,0,52,27,0,2013,2,0,0,0,1
1584,0,13724.0,43,1,2,0,2,9,0,0,32,56,1,2012,1,0,0,0,1
12,1,63033.0,82,1,3,4,8,2,0,0,61,908,0,2013,0,1,0,0,0
897,1,58917.0,10,5,4,1,6,5,0,0,51,131,0,2013,3,0,0,0,1
171,1,50447.0,4,1,3,1,3,6,0,0,50,63,0,2014,2,0,1,0,0
260,3,37717.0,31,1,1,0,2,9,0,0,42,16,0,2012,1,0,1,0,0
1462,2,23162.0,82,3,1,1,3,6,0,0,50,57,0,2013,2,0,1,0,0
1713,1,90273.0,32,1,5,6,7,2,0,1,29,1287,3,2013,0,0,0,1,0
901,1,47889.0,94,1,2,0,3,5,0,0,46,38,0,2014,1,0,0,0,1
258,3,69674.0,46,3,10,2,10,5,0,0,52,291,0,2013,2,1,0,0,0
844,3,65324.0,0,3,6,2,9,4,0,0,66,160,0,2014,1,0,1,0,0
138,3,35860.0,37,2,1,1,2,5,0,1,47,34,1,2014,2,0,0,1,0
319,3,47025.0,6,1,1,0,2,7,0,0,55,4,0,2014,2,1,0,0,0
2087,1,80144.0,47,1,3,7,8,1,0,0,45,1127,0,2013,0,0,0,0,1
1487,1,65492.0,73,2,4,7,13,2,0,0,61,798,0,2014,0,0,1,0,0
1421,1,31907.0,75,1,6,1,6,7,0,0,48,416,0,2013,0,0,0,1,0
558,2,71499.0,12,2,8,3,13,4,0,0,49,330,0,2013,1,0,0,0,1
139,3,36921.0,74,2,2,0,3,7,0,0,55,21,0,2013,2,1,0,0,0
112,2,57288.0,27,3,8,1,8,6,0,0,57,81,1,2014,1,0,0,0,1
531,2,47352.0,70,4,6,1,5,7,0,0,69,147,0,2013,1,0,0,0,1
224,1,51369.0,84,2,8,2,4,8,0,0,44,279,0,2012,1,0,0,0,1
723,3,35946.0,24,1,0,0,3,5,0,0,71,3,0,2013,2,1,0,0,0
2069,1,51381.5,82,4,2,1,3,8,0,0,49,26,0,2013,2,0,1,0,0
1778,1,36075.0,54,1,2,0,4,6,0,0,37,73,0,2013,1,0,0,0,1
325,3,54432.0,37,1,1,0,3,4,0,0,70,5,0,2013,3,0,1,0,0
1523,2,53083.0,65,6,5,1,5,7,0,0,62,56,1,2013,2,0,0,0,1
1309,2,46094.0,62,1,1,0,3,7,0,0,47,32,0,2014,2,0,1,0,0
714,1,59111.0,90,1,11,1,8,7,0,0,66,345,0,2013,0,0,1,0,0
846,3,30843.0,43,2,1,1,2,5,0,0,54,11,1,2014,2,0,0,0,1
193,1,31353.0,24,2,1,1,2,8,0,0,43,21,0,2013,2,0,1,0,0
573,1,13260.0,48,4,3,0,3,8,0,0,50,40,0,2013,2,0,1,0,0
946,3,42767.0,53,1,3,1,2,8,0,0,49,111,0,2013,2,0,0,1,0
503,1,81217.0,77,1,3,7,11,1,0,0,31,664,0,2013,0,0,0,1,0
1582,3,31497.0,22,2,3,1,4,8,0,0,58,47,0,2012,1,0,0,0,1
1406,1,34412.0,62,3,5,0,3,9,0,0,30,157,0,2013,1,0,0,1,0
645,2,98777.0,23,0,4,6,9,1,0,0,60,1008,1,2014,0,0,0,1,0
3,1,26646.0,26,2,2,0,4,6,0,0,36,42,0,2014,1,0,0,0,1
1659,3,69084.0,43,2,7,3,13,8,0,0,50,405,0,2013,1,0,1,0,0
467,1,37406.0,18,1,1,0,2,8,0,1,40,15,0,2013,1,0,1,0,0
5,2,62513.0,16,2,6,4,10,6,0,0,53,196,0,2013,1,0,0,0,1
2205,1,36807.0,88,1,1,0,2,6,0,0,66,12,0,2012,2,0,0,0,1
547,1,21474.0,0,2,3,1,2,7,0,1,31,85,1,2014,1,0,0,1,0
228,1,37070.0,30,9,5,1,8,7,0,1,54,202,0,2013,2,0,0,1,0
1063,3,32892.0,78,2,3,0,3,8,0,0,49,20,0,2014,1,0,0,0,1
542,1,85620.0,68,1,3,6,4,1,0,1,56,1184,0,2014,0,1,0,0,0
242,3,31686.0,31,2,1,0,3,6,0,0,56,6,0,2014,2,0,1,0,0
898,1,85072.0,94,1,3,4,10,0,0,0,43,929,0,2014,0,0,0,1,0
1368,1,56243.0,26,6,4,2,8,5,0,0,45,49,0,2013,3,0,0,1,0
1160,1,35322.0,34,3,2,0,4,8,0,0,52,78,0,2012,3,0,0,0,1
1435,2,78427.0,36,3,3,7,10,3,0,1,72,958,1,2012,0,1,0,0,0
1314,1,77382.0,36,2,5,7,12,1,0,0,52,630,1,2014,1,0,0,0,1
842,1,15072.0,96,4,3,1,3,5,0,0,40,45,0,2013,2,0,1,0,0
1724,1,82427.0,35,1,3,5,12,1,0,0,54,974,1,2014,0,0,0,0,1
1506,2,20981.0,14,1,3,1,2,8,0,1,43,71,0,2013,0,0,0,0,1
276,2,63841.0,64,1,9,3,9,6,0,0,52,273,0,2013,1,1,0,0,0
661,0,21063.0,34,2,2,0,3,6,0,0,33,58,0,2013,1,0,0,1,0
1457,2,49476.0,29,4,2,11,5,2,0,0,57,409,0,2013,1,1,0,0,0
314,1,66503.0,30,2,4,3,6,3,0,0,35,310,0,2012,1,0,0,1,0
691,1,45938.0,46,2,8,4,6,6,0,0,59,363,0,2013,0,0,0,1,0
1825,1,54809.0,0,4,2,1,5,4,0,1,43,111,0,2013,2,0,1,0,0
424,2,10404.0,52,2,1,0,4,5,0,0,31,41,0,2014,1,0,0,0,1
594,2,26224.0,39,3,2,1,3,6,0,0,42,59,0,2013,1,0,1,0,0
2208,1,22775.0,40,1,1,0,2,8,0,0,42,10,0,2013,1,0,0,0,1
622,1,70971.0,28,7,11,11,5,7,0,1,60,824,0,2012,1,0,0,0,1
1414,1,63810.0,45,4,4,3,12,8,0,0,54,394,1,2012,1,0,0,1,0
1263,1,55956.0,22,2,7,3,4,4,0,0,76,239,1,2014,0,0,1,0,0
227,3,34320.0,66,1,1,0,2,8,0,0,34,13,0,2014,1,0,0,0,1
1351,2,33316.0,34,3,2,1,4,6,0,0,49,52,0,2013,2,0,0,1,0
1169,2,33444.0,24,1,1,0,2,8,0,0,68,10,0,2012,2,0,1,0,0
1608,1,28359.0,35,1,1,0,2,7,0,0,37,10,0,2013,1,0,0,0,1
1509,1,33039.0,4,1,2,0,4,5,0,0,42,48,0,2013,1,0,1,0,0
66,1,32474.0,0,1,1,0,2,7,0,0,53,1,0,2014,2,0,0,0,1
24,1,40689.0,69,7,7,1,5,8,0,0,69,174,0,2013,1,0,0,0,1
1235,1,76624.0,68,1,5,10,7,1,0,0,58,488,1,2014,1,0,0,1,0
144,1,41883.0,13,3,4,2,3,7,0,0,32,280,0,2013,1,0,0,0,1
536,2,25315.0,46,3,3,0,3,8,0,0,43,53,0,2013,1,0,0,0,1
811,1,65685.0,54,1,9,2,9,5,0,0,48,127,0,2014,1,0,1,0,0
1360,2,41335.0,24,3,4,1,4,7,0,0,52,75,0,2013,1,1,0,0,0
85,1,29440.0,95,2,1,0,4,7,0,0,60,39,0,2013,2,0,1,0,0
1254,3,90687.0,98,1,6,2,8,2,0,1,37,797,1,2013,0,1,0,0,0
1609,1,57100.0,9,2,3,2,7,3,0,0,33,153,0,2014,1,0,0,1,0
1427,2,31086.0,79,2,1,1,2,8,0,0,41,32,1,2013,2,0,1,0,0
1646,2,35544.0,77,1,2,0,3,7,0,0,42,37,0,2014,1,0,0,1,0
484,1,14045.0,24,1,1,0,3,7,0,0,51,9,0,2014,1,0,1,0,0
1929,2,34242.0,25,1,0,0,3,5,0,0,61,7,0,2014,1,0,1,0,0
2131,1,35788.0,34,2,2,0,3,6,0,0,49,21,0,2014,2,0,1,0,0
1779,2,60839.0,72,13,2,2,12,8,0,0,41,650,0,2012,2,0,0,0,1
1383,1,22682.0,51,3,2,1,4,4,0,0,47,85,0,2013,1,0,0,0,1
362,1,79530.0,64,1,4,10,11,2,0,0,60,1015,0,2013,0,0,1,0,0
1954,1,40887.0,32,3,3,1,3,9,0,1,68,111,0,2013,2,0,0,1,0
1393,1,65685.0,54,1,9,2,9,5,0,0,48,127,0,2014,1,0,1,0,0
1026,2,31056.0,99,1,1,0,3,8,0,0,43,50,0,2013,1,0,1,0,0
